""	alphaStandard	alphaDGRP1	alphaDGRP2	alphaFWW1	alphaFWW2	alphaAsymptotic1	alphaAsymptotic2	trueAlpha	scenario
sd12	0.0281021280097258	0.022826973798701	0.0210880549274028	0.0228269737987009	0.0210880549274028	0.0176053726725331	0.0269023215812797	0.00805175466745591	sd1
error12	0.356882980989523	0.178940826007803	0.138812983902966	0.178940826007803	0.138812983902966	0.04291714	0.0276803265306122	0	sd1
mean13	-0.27730059535828	0.262967576565133	0.308131420170637	0.262967576565133	0.308131420170637	0.359846	0.415685714285714	0.43417434	sd2
sd13	0.0335300649903721	0.0188031498121085	0.018861702266966	0.0188031498121085	0.018861702266966	0.0196289790974509	0.0248664767642436	0.0128178950556459	sd2
error13	0.71147493535828	0.171206763434867	0.126042919829363	0.171206763434867	0.126042919829363	0.07432834	0.0250491428571429	0	sd2
mean14	-0.206009070326856	0.192849953607416	0.243311798602885	0.192849953607416	0.243311798602885	0.320026	0.376384090909091	0.36778976	t2e4
sd14	0.111869816483947	0.0719961647393637	0.0684411060232601	0.0719961647393637	0.0684411060232601	0.0726001821833887	0.0760488305283897	0.0333221482577677	t2e4
error14	0.573798830326856	0.175246383511454	0.126244299652116	0.175246383511454	0.126244299652116	0.0744578	0.0680899545454546	0	t2e4
mean15	-0.284920004187602	0.128077724711671	0.179126031432259	0.128077724711671	0.179126031432259	0.254558	0.301946	0.32271546	t2e6
sd15	0.00940958822773926	0.00652796815445335	0.00660940652058898	0.00652796815445336	0.00660940652058898	0.00595990309467857	0.00838093584955079	0.00303185716783005	t2e6
error15	0.607635464187602	0.194637735288329	0.143589428567741	0.194637735288329	0.143589428567741	0.06815746	0.02076946	0	t2e6
