""	alphaStandard	alphaDGRP	alphaFWW1	alphaFWW2	alphaAsymptotic1	alphaAsymptotic2	trueAlpha	scenario
sd5	0.00637687060866995	0.00430375740698097	0.00415890376005391	0.00395559924037509	0.00398950829935072	0.00787980945574343	0.00234714980160544	l1e8
error5	0.615999971028418	0.433856524212891	0.199888211550326	0.148160180819294	0.0701960588235294	0.0236137058823529	0	l1e8
mean6	-0.268569571250122	-0.0813118323936934	0.141561409925933	0.190907570711784	0.263444	0.3201925	0.32760614	mu1e-10
sd6	0.106112246626672	0.0828985691736749	0.0653856236086951	0.0637892733049765	0.0654581036282922	0.0828677549720189	0.0252318022142692	mu1e-10
error6	0.596175711250122	0.408917972393693	0.186044730074067	0.136698569288216	0.06876978	0.063248825	0	mu1e-10
mean7	-0.293475608178644	-0.143893187911481	0.118570290955483	0.168597716926751	0.233705555555556	0.271230555555556	0.294796472222222	mu1e-8
sd7	0.00998917431155432	0.00804787036644796	0.00667715206067281	0.00643257997515702	0.00646453818677359	0.00971672547560412	0.00294563204458118	mu1e-8
error7	0.588272080400866	0.438689660133703	0.176226181266739	0.126198755295472	0.0610909166666667	0.0235659166666667	0	mu1e-8
mean8	-0.799786324594349	-0.538525375987662	-0.220303310430866	-0.147381083264644	-0.02915	0.035426	0.047127128	rb1
sd8	0.055188012555083	0.0429850790533274	0.0336364552580823	0.0313432680736084	0.0279835611364521	0.044275435719632	0.00468968776141953	rb1
error8	0.846913452594349	0.585652503987662	0.267430438430866	0.194508211264644	0.076277128	0.037697436	0	rb1
mean9	0.648341746775763	0.68531307240101	0.750812038691529	0.760491277928221	0.760036	0.781244897959184	0.81284792	rb2
sd9	0.00970734099431837	0.00838321905767909	0.00692067247478222	0.00695091990903903	0.00623737124115601	0.00653653390645257	0.00360461477938421	rb2
error9	0.164506173224237	0.12753484759899	0.0620358813084714	0.0523566420717786	0.05281192	0.0316097142857143	0	rb2
mean10	-0.718827276009142	-0.47147895865291	-0.166908366644621	-0.0980287113103518	0.0078	0.07012	0.09280063	sb1
sd10	0.0387615892959454	0.0297886790232625	0.0246208107399235	0.0220505627976594	0.0235690561576671	0.0395443589723062	0.0065428501919255	sb1
error10	0.811627906009142	0.56427958865291	0.259708996644621	0.190829341310352	0.08500063	0.03592041	0	sb1
mean11	0.006361650847388	0.138930397633436	0.323314967007382	0.362084371751337	0.414952	0.449752	0.4714271	sb2
sd11	0.0246414297894979	0.0197333634468453	0.0157206060934624	0.0152717059000533	0.0154697234253604	0.0250264451151585	0.00903515794617033	sb2
error11	0.465065449152612	0.332496702366564	0.148112132992618	0.109342728248663	0.0564751	0.0245389	0	sb2
mean12	-0.120271840989523	-0.0256609630785123	0.0576703139921974	0.0977981560970343	0.193694	0.216573469387755	0.23661114	sd1
sd12	0.0281021280097258	0.023317703305311	0.0228269737987009	0.0210880549274028	0.0176053726725331	0.0269023215812797	0.00805175466745591	sd1
error12	0.356882980989523	0.262272103078512	0.178940826007803	0.138812983902966	0.04291714	0.0276803265306122	0	sd1
mean13	-0.27730059535828	-0.055936905984392	0.262967576565133	0.308131420170637	0.359846	0.415685714285714	0.43417434	sd2
sd13	0.0335300649903721	0.0261395447231158	0.0188031498121085	0.018861702266966	0.0196289790974509	0.0248664767642436	0.0128178950556459	sd2
error13	0.71147493535828	0.490111245984392	0.171206763434867	0.126042919829363	0.07432834	0.0250491428571429	0	sd2
mean14	-0.206009070326856	-0.0236820143010803	0.192849953607416	0.243311798602885	0.320026	0.376384090909091	0.36778976	t2e4
sd14	0.111869816483947	0.0890854269076366	0.0719961647393637	0.0684411060232601	0.0726001821833887	0.0760488305283897	0.0333221482577677	t2e4
error14	0.573798830326856	0.39147177430108	0.175246383511454	0.126244299652116	0.0744578	0.0680899545454546	0	t2e4
mean15	-0.285817284001677	-0.104561340145766	0.127851726207666	0.179085940471699	0.254316666666667	0.302777777777778	0.322454777777778	t2e6
sd15	0.00927304974277892	0.00797484376238042	0.00692486760657135	0.00732501855597588	0.00761270223338058	0.00932974721021614	0.0039243017446428	t2e6
error15	0.608272061779455	0.427016117923544	0.194603051570112	0.143368837306079	0.0681381111111111	0.019677	0	t2e6
