d	d_w	d_0	test	analysis
0.792297707037418	0.03937788634046874	0.16832440662211323	imp1	2nes_neg_1000
0.7922976993170878	0.08837832677391008	0.11932397390900204	imp2	2nes_neg_1000
0.7922977066205106	0.095581518342228	0.11218488068336618	slim	2nes_neg_1000
0.7874106604479562	0.04208890095555261	0.17050043859649122	imp1	2nes_neg_1000
0.7874106601882291	0.08883479140371371	0.12375454840805718	imp2	2nes_neg_1000
0.7874106562703054	0.09788823911630928	0.11483105912930475	slim	2nes_neg_1000
0.7924192911013282	0.042582726577380436	0.16499798232129131	imp1	2nes_neg_1000
0.792419294652662	0.08553506737654627	0.1220456379707917	imp2	2nes_neg_1000
0.7924192928516526	0.09577568537022803	0.11212528823981552	slim	2nes_neg_1000
0.7895329519876801	0.04296853617938069	0.16749851183293918	imp1	2nes_neg_1000
0.7895329568933362	0.08910159754140153	0.12136544556526216	imp2	2nes_neg_1000
0.7895329568672877	0.09870167479125441	0.11205495760734913	slim	2nes_neg_1000
0.7917322259036237	0.04158020754255322	0.16668756655382316	imp1	2nes_neg_1000
0.7917322220629107	0.08531857340427725	0.12294920453281202	imp2	2nes_neg_1000
0.7917322271491918	0.09618716127084027	0.11230311988429567	slim	2nes_neg_1000
0.7911720248334031	0.040389745266008116	0.16843822990058874	imp1	2nes_neg_1000
0.7911720296927257	0.0838874883718112	0.12494048193546312	imp2	2nes_neg_1000
0.791172023292475	0.09804394685197695	0.11118617894025673	slim	2nes_neg_1000
0.7954937487451575	0.042706153155128865	0.1618000980997136	imp1	2nes_neg_1000
0.7954937456532134	0.08683199286358219	0.11767426148320438	imp2	2nes_neg_1000
0.7954937421876236	0.09640670242559453	0.10828942580022467	slim	2nes_neg_1000
0.7931831635290735	0.04221038310953507	0.16460645336139143	imp1	2nes_neg_1000
0.793183153734033	0.08599874560755838	0.12081810065840866	imp2	2nes_neg_1000
0.793183158767357	0.09619462113603391	0.11089323576769174	slim	2nes_neg_1000
0.790861586673044	0.03906604753449634	0.17007236579245977	imp1	2nes_neg_1000
0.7908615824215552	0.08745386722764333	0.12168455035080149	imp2	2nes_neg_1000
0.7908615812437072	0.09614677726103146	0.11311949625225744	slim	2nes_neg_1000
0.79164644409803	0.0398260719976056	0.1685274839043644	imp1	2nes_neg_1000
0.7916464416924504	0.08340459522236411	0.12494896308518555	imp2	2nes_neg_1000
0.791646446018959	0.09772234624219484	0.11100326765666958	slim	2nes_neg_1000
0.7905298175643449	0.042974098673477415	0.1664960837621776	imp1	2nes_neg_1000
0.790529824902094	0.09280350843123927	0.11666666666666667	imp2	2nes_neg_1000
0.790529824902094	0.09742046153348222	0.1125675631938376	slim	2nes_neg_1000
0.7917617553960996	0.041035870443890246	0.16720237416001013	imp1	2nes_neg_1000
0.7917617652698018	0.09035206128021722	0.11788617344998098	imp2	2nes_neg_1000
0.7917617598579942	0.09653543806263472	0.11211487257512362	slim	2nes_neg_1000
0.7851267981430026	0.04337844027861694	0.1714947615783805	imp1	2nes_neg_1000
0.7851267931688235	0.09297640863280193	0.12189679819837462	imp2	2nes_neg_1000
0.7851267991775188	0.10077026012598322	0.11424981233068965	slim	2nes_neg_1000
0.790377848952459	0.042603717423065776	0.16701843362447522	imp1	2nes_neg_1000
0.7903778404915189	0.09376008998830218	0.11586206952017887	imp2	2nes_neg_1000
0.7903778410461806	0.09670414515272885	0.11325580273126479	slim	2nes_neg_1000
0.7894055558557713	0.03885427328703034	0.17174017085719834	imp1	2nes_neg_1000
0.789405564299648	0.09252910223758137	0.11806533346277061	imp2	2nes_neg_1000
0.7894055593308094	0.09620425201436753	0.11468142251561336	slim	2nes_neg_1000
