test	analysis	variable	value
imp1	rho_0.01	d	0.8292174556339932
imp2	rho_0.01	d	0.8292174419684348
slim	rho_0.01	d	0.8292174495214619
imp1	rho_0.01	d	0.826305169663521
imp2	rho_0.01	d	0.8263051802574023
slim	rho_0.01	d	0.8263051745108001
imp1	rho_0.01	d	0.8290184571217636
imp2	rho_0.01	d	0.8290184556456411
slim	rho_0.01	d	0.829018461866277
imp1	rho_0.01	d	0.8266426165559344
imp2	rho_0.01	d	0.826642611509457
slim	rho_0.01	d	0.8266426170875343
imp1	rho_0.01	d	0.8287332605157932
imp2	rho_0.01	d	0.8287332640463713
slim	rho_0.01	d	0.8287332567929583
imp1	rho_0.01	d	0.8257168104678535
imp2	rho_0.01	d	0.825716807256483
slim	rho_0.01	d	0.8257168050107939
imp1	rho_0.01	d	0.8275196511313083
imp2	rho_0.01	d	0.8275196415505223
slim	rho_0.01	d	0.8275196491715693
imp1	rho_0.01	d	0.8284052056849746
imp2	rho_0.01	d	0.8284052010169536
slim	rho_0.01	d	0.8284052050936886
imp1	rho_0.01	d	0.831270075179594
imp2	rho_0.01	d	0.8312700844226205
slim	rho_0.01	d	0.8312700805506068
imp1	rho_0.01	d	0.8278706086639896
imp2	rho_0.01	d	0.8278706153271157
slim	rho_0.01	d	0.8278706083976007
imp1	rho_0.01	d	0.8271974738240148
imp2	rho_0.01	d	0.827197461984062
slim	rho_0.01	d	0.8271974688599119
imp1	rho_0.01	d	0.8266424191556114
imp2	rho_0.01	d	0.8266424283714386
slim	rho_0.01	d	0.8266424208514012
imp1	rho_0.01	d	0.829828492463957
imp2	rho_0.01	d	0.8298284980549617
slim	rho_0.01	d	0.8298284998701914
imp1	rho_0.01	d	0.8306676545759426
imp2	rho_0.01	d	0.8306676412028089
slim	rho_0.01	d	0.8306676471489414
imp1	rho_0.01	d	0.8271673069558974
imp2	rho_0.01	d	0.8271673048271513
slim	rho_0.01	d	0.8271673024189224
imp1	rho_0.01	d	0.8258914885373023
imp2	rho_0.01	d	0.82589148435696
slim	rho_0.01	d	0.8258914871417173
imp1	rho_0.01	d	0.8259660519278157
imp2	rho_0.01	d	0.8259660512330829
slim	rho_0.01	d	0.8259660444034724
imp1	rho_0.01	d	0.8307124052096578
imp2	rho_0.01	d	0.8307124052904844
slim	rho_0.01	d	0.8307124026730428
imp1	rho_0.01	d	0.8255984517249652
imp2	rho_0.01	d	0.8255984576402116
slim	rho_0.01	d	0.8255984591396863
imp1	rho_0.01	d	0.8304021013763037
imp2	rho_0.01	d	0.8304021054966015
slim	rho_0.01	d	0.8304021061976703
imp1	rho_0.01	d	0.8312422345911508
imp2	rho_0.01	d	0.831242230193959
slim	rho_0.01	d	0.8312422341424979
imp1	rho_0.01	d	0.8294111337350274
imp2	rho_0.01	d	0.8294111272261848
slim	rho_0.01	d	0.8294111301185138
imp1	rho_0.01	d	0.8277546891485313
imp2	rho_0.01	d	0.8277546947961524
slim	rho_0.01	d	0.8277546919950682
imp1	rho_0.01	d	0.8291019615440391
imp2	rho_0.01	d	0.8291019627613795
slim	rho_0.01	d	0.829101967469935
imp1	rho_0.01	d	0.8297575801388797
imp2	rho_0.01	d	0.8297575816232285
slim	rho_0.01	d	0.8297575841105037
imp1	rho_0.01	d	0.8305118193950768
imp2	rho_0.01	d	0.8305118283546371
slim	rho_0.01	d	0.8305118259943722
imp1	rho_0.01	d	0.8278221163512399
imp2	rho_0.01	d	0.8278221172569269
slim	rho_0.01	d	0.8278221208665907
imp1	rho_0.0001	d	0.8239975323936191
imp2	rho_0.0001	d	0.8239975291219288
slim	rho_0.0001	d	0.8239975355547569
imp1	rho_0.0001	d	0.824280386384842
imp2	rho_0.0001	d	0.8242803879050544
slim	rho_0.0001	d	0.8242803847075333
imp1	rho_0.0001	d	0.8231208927633523
imp2	rho_0.0001	d	0.823120900856896
slim	rho_0.0001	d	0.823120894121662
imp1	rho_0.0001	d	0.8223354568193363
imp2	rho_0.0001	d	0.8223354647427541
slim	rho_0.0001	d	0.8223354564755838
imp1	rho_0.0001	d	0.8220334516702562
imp2	rho_0.0001	d	0.8220334539226319
slim	rho_0.0001	d	0.8220334539352945
imp1	rho_0.0001	d	0.824896477124598
imp2	rho_0.0001	d	0.8248964781013036
slim	rho_0.0001	d	0.824896480331263
imp1	rho_0.0001	d	0.8213466991764609
imp2	rho_0.0001	d	0.8213467049264487
slim	rho_0.0001	d	0.8213467073401928
imp1	rho_0.0001	d	0.8260138382583699
imp2	rho_0.0001	d	0.8260138282213881
slim	rho_0.0001	d	0.8260138323980162
imp1	rho_0.0001	d	0.8220906287655018
imp2	rho_0.0001	d	0.8220906202962845
slim	rho_0.0001	d	0.8220906282183316
imp1	rho_0.0001	d	0.8226600094503923
imp2	rho_0.0001	d	0.8226600143381051
slim	rho_0.0001	d	0.8226600140596334
imp1	rho_0.0001	d	0.8246860540571415
imp2	rho_0.0001	d	0.824686052562138
slim	rho_0.0001	d	0.8246860570123873
imp1	rho_0.0001	d	0.8193627883009054
imp2	rho_0.0001	d	0.8193627837169586
slim	rho_0.0001	d	0.8193627833567476
imp1	rho_0.0001	d	0.8191542631704705
imp2	rho_0.0001	d	0.8191542744439877
slim	rho_0.0001	d	0.8191542675445418
imp1	rho_0.0001	d	0.8229988948422082
imp2	rho_0.0001	d	0.8229988993746445
slim	rho_0.0001	d	0.8229988921202049
imp1	rho_0.0001	d	0.8238533461063935
imp2	rho_0.0001	d	0.8238533363671499
slim	rho_0.0001	d	0.8238533389098006
imp1	rho_0.0001	d	0.8235964894256189
imp2	rho_0.0001	d	0.8235964888022365
slim	rho_0.0001	d	0.823596495775232
imp1	rho_0.0001	d	0.8243612846677686
imp2	rho_0.0001	d	0.8243612950082086
slim	rho_0.0001	d	0.8243612903225807
imp1	rho_0.0001	d	0.8221214978253262
imp2	rho_0.0001	d	0.8221215014955474
slim	rho_0.0001	d	0.8221214930805948
imp1	rho_0.0001	d	0.8230820918087515
imp2	rho_0.0001	d	0.82308210384088
slim	rho_0.0001	d	0.8230820961150485
imp1	rho_0.0001	d	0.8258434607290501
imp2	rho_0.0001	d	0.8258434563133048
slim	rho_0.0001	d	0.8258434547908232
imp1	rho_0.0001	d	0.8237630112452949
imp2	rho_0.0001	d	0.823763022859784
slim	rho_0.0001	d	0.8237630175043889
imp1	rho_0.0001	d	0.8272745729338824
imp2	rho_0.0001	d	0.8272745761794352
slim	rho_0.0001	d	0.8272745735174655
imp1	rho_0.0001	d	0.8211791910106471
imp2	rho_0.0001	d	0.8211791805176114
slim	rho_0.0001	d	0.8211791883236206
imp1	rho_0.0001	d	0.8228320760666319
imp2	rho_0.0001	d	0.8228320783697849
slim	rho_0.0001	d	0.8228320827765786
imp1	rho_0.0001	d	0.8237757838425345
imp2	rho_0.0001	d	0.8237757984184054
slim	rho_0.0001	d	0.8237757898546978
imp1	rho_0.0001	d	0.8222544158470094
imp2	rho_0.0001	d	0.8222544040865662
slim	rho_0.0001	d	0.8222544100150018
imp1	rho_0.0001	d	0.8237400822978425
imp2	rho_0.0001	d	0.8237400893921623
slim	rho_0.0001	d	0.823740086978767
imp1	rho_0.0001	d	0.8245263729146373
imp2	rho_0.0001	d	0.8245263681841776
slim	rho_0.0001	d	0.82452636968766
imp1	rho_0.0001	d	0.8227804240533632
imp2	rho_0.0001	d	0.822780432608047
slim	rho_0.0001	d	0.8227804304200401
imp1	rho_0.0001	d	0.825482006395823
imp2	rho_0.0001	d	0.8254820067121345
slim	rho_0.0001	d	0.8254820012727242
imp1	rho_0.0001	d	0.8216860158754693
imp2	rho_0.0001	d	0.8216860125985148
slim	rho_0.0001	d	0.8216860078728081
imp1	rho_0.0001	d	0.8229370979708985
imp2	rho_0.0001	d	0.8229371120709803
slim	rho_0.0001	d	0.8229371062687184
imp1	rho_0.0001	d	0.8249336789776054
imp2	rho_0.0001	d	0.8249336789863995
slim	rho_0.0001	d	0.8249336870026526
imp1	rho_0.0001	d	0.8227695868585319
imp2	rho_0.0001	d	0.8227695834542907
slim	rho_0.0001	d	0.8227695901611185
imp1	rho_0.0001	d	0.8254415089852096
imp2	rho_0.0001	d	0.8254415127582876
slim	rho_0.0001	d	0.825441515229076
imp1	rho_0.0001	d	0.8212348500667901
imp2	rho_0.0001	d	0.8212348417565418
slim	rho_0.0001	d	0.8212348450067166
imp1	rho_0.0001	d	0.8237934885422924
imp2	rho_0.0001	d	0.8237934843183721
slim	rho_0.0001	d	0.8237934904601572
imp1	rho_0.0001	d	0.8231924718161794
imp2	rho_0.0001	d	0.8231924730872016
slim	rho_0.0001	d	0.8231924687640605
imp1	rho_0.0001	d	0.8220620245277233
imp2	rho_0.0001	d	0.8220620278327573
